Bayer Name	RA	Dec	Mag
58 Aqr	22.53	-10.91	6.39
39 Peg	22.54	20.23	6.43
Nu  Tuc	22.55	-61.98	4.91
60 Aqr	22.57	-1.57	5.88
59Ups Aqr	22.58	-20.71	5.21
62Eta Aqr	22.59	-0.12	4.04
31 Cep	22.60	73.64	5.08
8 Lac	22.60	39.63	6.6
Sig1Gru	22.61	-40.58	6.28
Sig2Gru	22.62	-40.59	5.85
9 Lac	22.62	51.55	4.64
63Kap Aqr	22.63	-4.23	5.04
30 Cep	22.64	63.58	5.19
40 Peg	22.65	19.52	5.84
10 Lac	22.65	39.05	4.89
41 Peg	22.66	19.68	6.33
11 Lac	22.68	44.28	4.5
18Eps PsA	22.68	-27.04	4.18
42Zet Peg	22.69	10.83	3.41
12 Lac	22.69	40.23	5.25
43Omi Peg	22.70	29.31	4.8
19 PsA	22.71	-29.36	6.12
Bet Gru	22.71	-46.88	2.07
44Eta Peg	22.72	30.22	2.93
67 Aqr	22.72	-6.96	6.4
Rho Gru	22.72	-41.41	4.84
66 Aqr	22.73	-18.83	4.68
13 Lac	22.73	41.82	5.11
45 Peg	22.76	19.37	6.27
Eta Gru	22.76	-53.50	4.84
Bet Oct	22.77	-81.38	4.13
47Lam Peg	22.78	23.57	3.97
46Xi  Peg	22.78	12.17	4.2
68 Aqr	22.79	-19.61	5.24
69Tau1Aqr	22.80	-14.06	5.68
70 Aqr	22.81	-10.56	6.19
Eps Gru	22.81	-51.32	3.49
71Tau2Aqr	22.83	-13.59	4.05
32Iot Cep	22.83	66.20	3.5
48Mu  Peg	22.83	24.60	3.51
14 Lac	22.84	41.95	5.91
Xi  Oct	22.84	-80.12	5.32
21 PsA	22.86	-29.54	5.99
15 Lac	22.87	43.31	4.95
49Sig Peg	22.87	9.84	5.16
22Gam PsA	22.88	-32.88	4.46
73Lam Aqr	22.88	-7.58	3.73
74 Aqr	22.89	-11.62	5.8
Tau1Gru	22.89	-48.60	6.03
78 Aqr	22.91	-7.20	6.2
76Del Aqr	22.91	-15.82	3.27
Rho Ind	22.91	-70.07	6.04
77 Aqr	22.91	-16.27	5.53
1 Psc	22.92	1.06	6.11
50Rho Peg	22.92	8.82	4.91
23Del PsA	22.93	-32.54	4.2
16 Lac	22.94	41.60	5.6
Tau3Gru	22.95	-47.97	5.72
51 Peg	22.96	20.77	5.45
24Alp PsA	22.96	-29.62	1.17
52 Peg	22.99	11.73	5.76
2 Psc	22.99	0.96	5.43
3 Psc	23.01	0.19	6.22
Zet Gru	23.01	-52.75	4.11
81 Aqr	23.02	-7.06	6.23
1Omi And	23.03	42.33	3.62
82 Aqr	23.04	-6.57	6.18
2 And	23.04	42.76	5.09
Pi  PsA	23.06	-34.75	5.12
53Bet Peg	23.06	28.08	2.44
4Bet Psc	23.06	3.82	4.48
3 And	23.07	50.05	4.64
Kap Gru	23.08	-53.96	5.37
54Alp Peg	23.08	15.21	2.49
83 Aqr	23.09	-7.69	5.44
1 Cas	23.11	59.42	4.84
86 Aqr	23.11	-23.74	4.48
The Gru	23.11	-43.52	4.28
Ups Gru	23.11	-38.89	5.62
55 Peg	23.12	9.41	4.54
56 Peg	23.12	25.47	4.76
4 And	23.13	46.39	5.3
5 And	23.13	49.30	5.68
33Pi  Cep	23.13	75.39	4.41
5 Psc	23.14	2.13	5.42
88 Aqr	23.16	-21.17	3.68
57 Peg	23.16	8.68	5.05
2 Cas	23.16	59.33	5.68
89 Aqr	23.17	-22.46	4.71
58 Peg	23.17	9.82	5.39
Iot Gru	23.17	-45.25	3.88
6 And	23.17	43.54	5.91
59 Peg	23.20	8.72	5.15
60 Peg	23.20	26.85	6.19
7 And	23.21	49.41	4.53
90Phi Aqr	23.24	-6.05	4.22
61 Peg	23.26	28.25	6.51
91Psi1Aqr	23.26	-9.09	4.24
92Chi Aqr	23.28	-7.73	4.93
6Gam Psc	23.29	3.28	3.7
Gam Tuc	23.29	-58.24	3.99
8 And	23.30	49.02	4.82
93Psi2Aqr	23.30	-9.18	4.41
Phi Gru	23.30	-40.82	5.54
9 And	23.31	41.77	5.98
34Omi Cep	23.31	68.11	4.75
Gam Scl	23.31	-32.53	4.41
95Psi3Aqr	23.32	-9.61	4.99
94 Aqr	23.32	-13.46	5.2
96 Aqr	23.32	-5.12	5.56
11 And	23.32	48.63	5.44
10 And	23.33	42.08	5.81
7 Psc	23.34	5.38	5.05
62Tau Peg	23.34	23.74	4.58
63 Peg	23.35	30.42	5.58
12 And	23.35	38.18	5.77
64 Peg	23.37	31.81	5.35
97 Aqr	23.38	-15.04	5.19
65 Peg	23.38	20.83	6.28
98 Aqr	23.38	-20.10	3.96
66 Peg	23.38	12.31	5.09
4 Cas	23.41	62.28	4.96
67 Peg	23.41	32.38	5.56
68Ups Peg	23.42	23.40	4.42
99 Aqr	23.43	-20.64	4.38
Omi Gru	23.44	-52.72	5.53
8Kap Psc	23.45	1.26	4.95
13 And	23.45	42.91	5.75
9 Psc	23.45	1.12	6.26
69 Peg	23.46	25.17	5.99
10The Psc	23.47	6.38	4.27
Tau Oct	23.47	-87.48	5.5
70 Peg	23.49	12.76	4.54
14 And	23.52	39.24	5.22
100 Aqr	23.53	-21.37	6.24
13 Psc	23.53	-1.09	6.39
Bet Scl	23.55	-37.82	4.38
101 Aqr	23.55	-20.91	4.7
71 Peg	23.56	22.50	5.33
72 Peg	23.57	31.33	4.97
14 Psc	23.57	-1.25	5.91
15 And	23.58	40.24	5.55
73 Peg	23.58	33.50	5.63
Iot Phe	23.58	-42.62	4.69
16 Psc	23.61	2.10	5.68
16Lam And	23.63	46.46	3.81
74 Peg	23.63	16.83	6.26
75 Peg	23.63	18.40	5.49
17Iot And	23.64	43.27	4.29
18 And	23.65	50.47	5.35
35Gam Cep	23.66	77.63	3.21
The Phe	23.66	-46.64	6.07
102Ome1Aqr	23.66	-14.22	4.97
17Iot Psc	23.67	5.63	4.13
19Kap And	23.67	44.33	4.15
Mu  Scl	23.68	-32.07	5.3
103 Aqr	23.69	-18.03	5.36
104 Aqr	23.70	-17.82	4.82
18Lam Psc	23.70	1.78	4.49
105Ome2Aqr	23.71	-14.54	4.49
77 Peg	23.72	10.33	5.09
78 Peg	23.73	29.36	4.93
106 Aqr	23.74	-18.28	5.24
107 Aqr	23.77	-18.68	5.28
20Psi And	23.77	46.42	4.97
19 Psc	23.77	3.49	4.95
5Tau Cas	23.78	58.65	4.88
Sig Phe	23.79	-50.23	5.18
20 Psc	23.80	-2.76	5.49
6 Cas	23.81	62.21	5.43
Del Scl	23.82	-28.13	4.59
21 Psc	23.82	1.08	5.77
79 Peg	23.83	28.84	5.95
80 Peg	23.86	9.31	5.77
108 Aqr	23.86	-18.91	5.17
22 Psc	23.87	2.93	5.59
Gam1Oct	23.87	-82.02	5.1
81Phi Peg	23.87	19.12	5.06
82 Peg	23.88	10.95	5.3
24 Psc	23.88	-3.16	5.93
25 Psc	23.88	2.09	6.29
7Rho Cas	23.91	57.50	4.51
26 Psc	23.92	7.07	6.22
Gam2Oct	23.96	-82.17	5.72
Eta Tuc	23.96	-64.30	5
84Psi Peg	23.96	25.14	4.63
1 Cet	23.97	-15.85	6.28
27 Psc	23.98	-3.56	4.88
Pi  Phe	23.98	-52.75	5.13
8Sig Cas	23.98	55.75	4.88
28Ome Psc	23.99	6.86	4.03
Eps Tuc	24.00	-65.58	4.49
66Alp Gem	7.58	31.89	2.85
53Xi  UMa	11.30	31.54	4.33
53Xi  UMa	11.30	31.54	4.8
29Gam Vir	12.69	-1.45	3.52
42Alp Com	13.17	17.53	5.17
79Zet UMa	13.40	54.92	3.95
2Eta CrB	15.39	30.29	5.96
Xi  Sco	16.07	-11.37	4.84
Xi  Sco	16.07	-11.37	5
17Sig CrB	16.24	33.86	6.72
21Mu  Dra	17.09	54.47	5.63
36 Oph	17.26	-26.59	5.07
69Tau Oph	18.05	-8.18	5.24
Gam CrA	19.11	-37.06	5
78Mu 2Cyg	21.74	28.75	6.09
53 Aqr	22.44	-16.74	6.21
