Bayer Name	RA	Dec	Mag
38Omi1Eri	4.20	-6.84	4.04
46 Tau	4.23	7.72	5.29
47 Tau	4.23	9.26	4.84
Alp Hor	4.23	-42.29	3.85
39 Eri	4.24	-10.26	4.87
Alp Ret	4.24	-62.47	3.33
52 Per	4.25	40.48	4.67
51Mu  Per	4.25	48.41	4.12
40Omi2Eri	4.25	-7.64	4.43
49Mu  Tau	4.26	8.89	4.27
48 Tau	4.26	15.40	6.31
Gam Dor	4.27	-51.49	4.26
Eps Ret	4.27	-59.30	4.44
50Ome2Tau	4.29	20.58	4.93
The Ret	4.29	-63.26	5.88
41Ups4Eri	4.30	-33.80	3.55
Del Men	4.30	-80.21	5.67
51 Tau	4.31	21.58	5.64
53 Tau	4.32	21.14	5.5
56 Tau	4.33	21.77	5.34
54Gam Tau	4.33	15.63	3.65
57 Tau	4.33	14.04	5.58
52Phi Tau	4.34	27.35	4.97
54 Per	4.34	34.57	4.93
58 Tau	4.34	15.10	5.26
Nu  Men	4.35	-81.58	5.78
53 Per	4.36	46.50	4.8
Eta Ret	4.36	-63.39	5.24
60 Tau	4.37	14.08	5.72
59Chi Tau	4.38	25.63	5.38
61Del1Tau	4.38	17.54	3.77
63 Tau	4.39	16.78	5.64
42Xi  Eri	4.39	-3.75	5.17
66 Tau	4.40	9.46	5.1
62 Tau	4.40	24.30	6.34
43 Eri	4.40	-34.02	3.97
64Del2Tau	4.40	17.44	4.8
55 Per	4.41	34.13	5.73
56 Per	4.41	33.96	5.77
65Kap1Tau	4.42	22.29	4.21
67Kap2Tau	4.42	22.20	5.27
68Del3Tau	4.42	17.93	4.3
70 Tau	4.43	15.94	6.44
69Ups Tau	4.44	22.81	4.28
71 Tau	4.44	15.62	4.48
73Pi  Tau	4.44	14.71	4.69
72 Tau	4.45	23.00	5.53
76 Tau	4.47	14.74	5.9
75 Tau	4.47	16.36	4.96
77The1Tau	4.48	15.96	3.84
74Eps Tau	4.48	19.18	3.53
78The2Tau	4.48	15.87	3.4
79 Tau	4.48	13.05	5.02
80 Tau	4.50	15.64	5.58
83 Tau	4.51	13.72	5.4
81 Tau	4.51	15.69	5.47
Del Cae	4.51	-44.95	5.07
85 Tau	4.53	15.85	6.01
45 Eri	4.53	-0.04	4.91
1 Cam	4.53	53.91	5.78
57 Per	4.56	43.06	6.09
50Ups1Eri	4.56	-29.77	4.49
86Rho Tau	4.56	14.84	4.65
46 Eri	4.57	-6.74	5.71
Alp Dor	4.57	-55.05	3.3
47 Eri	4.57	-8.23	5.2
52Ups2Eri	4.59	-30.56	3.81
88 Tau	4.59	10.16	4.25
87Alp Tau	4.60	16.51	0.87
48Nu  Eri	4.61	-3.35	3.93
58 Per	4.61	41.26	4.25
51 Eri	4.63	-2.47	5.22
89 Tau	4.64	16.03	5.78
90 Tau	4.64	12.51	4.27
53 Eri	4.64	-14.30	3.86
91Sig1Tau	4.65	15.80	5.08
92Sig2Tau	4.65	15.92	4.67
3 Cam	4.67	53.08	5.07
2 Cam	4.67	53.47	5.36
93 Tau	4.67	12.20	5.45
54 Eri	4.67	-19.67	4.32
Alp Cae	4.68	-41.86	4.44
Bet Cae	4.70	-37.14	5.04
94Tau Tau	4.70	22.96	4.27
Lam Pic	4.71	-50.48	5.3
59 Per	4.72	43.37	5.3
Mu  Men	4.72	-70.93	5.53
95 Tau	4.72	24.09	6.18
55 Eri	4.73	-8.79	5.98
56 Eri	4.73	-8.50	5.78
Kap Dor	4.74	-59.73	5.28
57Mu  Eri	4.76	-3.25	4.01
58 Eri	4.79	-16.93	5.49
Zet Cae	4.80	-30.02	6.35
4 Cam	4.80	56.76	5.29
59 Eri	4.81	-16.33	5.76
96 Tau	4.83	15.90	6.09
1Pi 3Ori	4.83	6.96	3.19
60 Eri	4.84	-16.22	5.03
2Pi 2Ori	4.84	8.90	4.35
Iot Pic	4.85	-53.46	5.58
Iot Pic	4.85	-53.46	6.42
3Pi 4Ori	4.85	5.61	3.68
97 Tau	4.86	18.84	5.08
4Omi1Ori	4.88	14.25	4.71
2 Aur	4.88	36.70	4.79
61Ome Eri	4.88	-5.45	4.36
5 Ori	4.89	2.51	5.33
9Alp Cam	4.90	66.34	4.26
8Pi 5Ori	4.90	2.44	3.71
6 Ori	4.91	11.43	5.18
7Pi 1Ori	4.91	10.15	4.64
5 Cam	4.92	55.26	5.52
Eta Men	4.92	-74.94	5.47
9Omi2Ori	4.94	13.51	4.06
62 Eri	4.94	-5.17	5.5
3Iot Aur	4.95	33.17	2.69
7 Cam	4.95	53.75	4.43
99 Tau	4.96	23.95	5.79
98 Tau	4.97	25.05	5.79
10Pi 6Ori	4.98	1.71	4.47
Xi  Men	4.98	-82.47	5.84
4Ome Aur	4.99	37.89	4.93
8 Cam	5.00	53.16	6.09
63 Eri	5.00	-10.26	5.39
64 Eri	5.00	-12.54	4.78
5 Aur	5.01	39.39	5.95
6 Aur	5.01	39.65	6.46
65Psi Eri	5.02	-7.17	4.8
7Eps Aur	5.03	43.82	3.03
8Zet Aur	5.04	41.08	3.69
Bet Men	5.05	-71.31	5.3
1 Lep	5.05	-22.80	5.74
Eta1Pic	5.05	-49.15	5.37
102Iot Tau	5.05	21.59	4.62
10Bet Cam	5.06	60.44	4.03
Gam1Cae	5.07	-35.48	4.55
Gam2Cae	5.07	-35.71	6.32
11 Ori	5.08	15.40	4.65
Eta2Pic	5.08	-49.58	5.05
2Eps Lep	5.09	-22.37	3.19
Zet Dor	5.09	-57.47	4.71
11 Cam	5.10	58.97	5.22
12 Cam	5.10	59.02	6.08
10Eta Aur	5.11	41.23	3.18
9 Aur	5.11	51.60	4.98
66 Eri	5.11	-4.66	5.12
104 Tau	5.12	18.65	4.91
13 Ori	5.13	9.47	6.15
106 Tau	5.13	20.42	5.28
67Bet Eri	5.13	-5.09	2.78
